Date,daily_btc_close_last,log_price_scaled,log_return,phase_x,fgi_Index,MKT_RF_scaled,Fundamental_Index,Time,Noisy Volume,close,phase_y,beta_0_3,beta_2,beta_5
2018-02-01,9181.0,0.2959392486730419,,Bear,-0.4,-0.1695420403085157,0.17,0.0,0.8913357893715098,9.1248914101437,Bear,0.1,1.0,0.0
2018-02-02,8874.0,0.2861557296663459,-0.0340104782048449,Bear,-0.7,0.0440693619694354,-0.05,1.0,0.7349323894756415,9.090880931938855,Bear,0.1,1.0,0.0
2018-02-03,9216.2,0.2970400369963246,0.0378371521502352,Bear,-0.2,0.4803878059194593,-0.05,2.0,0.7107148732904206,9.12871808408909,Bear,0.1,1.0,0.0
2018-02-04,8185.2,0.2629132207776963,-0.1186351596404158,Bear,-0.52,-0.1279112649230519,-0.05,3.0,1.0,9.010082924448676,Bear,0.1,1.0,0.0
2018-02-05,6939.4,0.2154166931126355,-0.165112330016715,Bear,-0.78,-0.3148475566102928,-0.06,4.0,0.6905339493967075,8.84497059443196,Bear,0.1,1.0,0.0
2018-02-06,7656.0,0.2436864767586968,0.0982743387008309,Bear,-0.84,0.791653838365038,0.05,5.0,0.7613373047800704,8.94324493313279,Bear,0.1,1.0,0.0
2018-02-07,7535.0,0.2391037861068081,-0.0159308220721943,Bear,-0.28,0.1207027762040728,-0.11,6.0,0.6846233543210816,8.927314111060596,Bear,0.1,1.0,0.0
2018-02-08,8235.0,0.2646580968297232,0.0888345315511447,Bear,-0.4,0.6656415289104536,-0.04,7.0,0.9598888538421868,9.01614864261174,Bear,0.1,1.0,0.0
2018-02-09,8672.83405891,0.2795596322211091,0.0518022548226859,Bear,-0.12,0.6103592390466015,0.07,8.0,0.7147434768179802,9.067950897434429,Bear,0.1,1.0,0.0
2018-02-10,8554.2,0.275597599180454,-0.0137732280464568,Bear,0.08,0.2184553433354497,0.07,9.0,0.7676761560316464,9.05417766938797,Bear,0.1,1.0,0.0
2018-02-11,8062.0,0.2585505458326369,-0.0592607257108586,Bear,-0.38,0.0562780368536253,0.07,10.0,0.5679204255228114,8.994916943677111,Bear,0.1,1.0,0.0
2018-02-12,8890.1,0.2866771586118326,0.0977766333614997,Bear,-0.16,0.5508594456915294,0.2,11.0,0.6474313952322768,9.092693577038611,Bear,0.1,1.0,0.0
2018-02-13,8500.0,0.2737691548285101,-0.0448721345602027,Bear,-0.3,0.1912480246688854,0.21,12.0,0.6230386241177761,9.047821442478408,Bear,0.1,1.0,0.0
2018-02-14,9454.3,0.3043773887928016,0.1064035009712629,Bear,0.1,0.640615854920223,0.26,13.0,0.7749987852454512,9.154224943449671,Bear,0.1,1.0,0.0
2018-02-15,9990.2,0.3202376130614834,0.0551349480125491,Bear,0.42,0.3918895754677713,0.2,14.0,0.4640237407785251,9.20935989146222,Bear,0.1,1.0,0.0
2018-02-16,10159.0,0.3250575032656422,0.016755399629325,Bear,0.34,0.3434345419818954,0.05,15.0,0.6130328185456367,9.226115291091546,Bear,0.1,1.0,0.0
2018-02-17,11045.0,0.3491111661673192,0.0836178247626726,Bear,0.48,0.4374229689178892,0.05,16.0,0.5867173154834021,9.309733115854218,Bear,0.1,1.0,0.0
2018-02-18,10370.0,0.3309709719953724,-0.0630608146306457,Bear,0.26,0.0555162699295241,0.05,17.0,0.7835726590469004,9.246672301223573,Bear,0.1,1.0,0.0
2018-02-19,11172.0,0.3523999504386723,0.0744936258414945,Bear,0.34,0.4202682572110645,0.05,18.0,0.7120185401544584,9.321165927065069,Bear,0.1,1.0,0.0
2018-02-20,11200.0,0.3531200056498251,0.0025031302181179,Bear,0.48,0.1302781178776384,-0.02,19.0,0.7955694146782247,9.323669057283183,Bear,0.1,1.0,0.0
2018-02-21,10450.0,0.3331816411396273,-0.0693117998902277,Bear,0.08,0.1029533608414492,0.04,20.0,0.6681273900394508,9.254357257392956,Bear,0.1,1.0,0.0
2018-02-22,9826.4,0.3154819946945655,-0.0615293371680731,Bear,-0.12,0.0557044254554535,0.11,21.0,0.7288024803939113,9.192827920224884,Bear,0.1,1.0,0.0
2018-02-23,10143.0,0.3246040906501957,0.0317111711511106,Bear,-0.22,0.4511926527732441,0.09,22.0,0.619274472398171,9.224539091375997,Bear,0.1,1.0,0.0
2018-02-24,9665.0,0.310717873805395,-0.0482726997335642,Bear,-0.38,0.1474366046312418,0.09,23.0,0.7305751748554327,9.17626639164243,Bear,0.1,1.0,0.0
2018-02-25,9557.4,0.3074973868271655,-0.0111953891137837,Bear,-0.34,0.2667980951831059,0.09,24.0,0.6967147473668003,9.165071002528649,Bear,0.1,1.0,0.0
2018-02-26,10315.0,0.3294412217269085,0.0762834229767062,Bear,-0.26,0.4204064657586339,0.12,25.0,0.650394543753221,9.241354425505351,Bear,0.1,1.0,0.0
2018-02-27,10562.0,0.3362483114877634,0.0236635077615261,Bear,-0.12,0.3358203055643702,-0.07,26.0,0.6894335440241476,9.26501793326688,Bear,0.1,1.0,0.0
2018-02-28,10313.0025347,0.3293855115651993,-0.0238571731736652,Bear,-0.18,0.1127545587767624,0.01,27.0,0.6956993304139368,9.241160760093214,Bear,0.1,1.0,0.0
2018-03-01,10908.0,0.3455207509321187,0.0560909838722647,Bear,-0.24,0.4242347953389811,0.01,28.0,0.9386964632478296,9.29725174396548,Bear,0.1,1.0,0.0
